mol_id,ifp_score,ifp_score_norm,rank,selected
2026-09-18-6fnk-s0-n100-refligand-seed1-0001,0.333333,0.022222,3,1
2026-09-18-6fnk-s0-n100-refligand-seed1-0002,0.333333,0.011905,4,1
2026-09-18-6fnk-s0-n100-refligand-seed1-0003,0.0,0.0,65,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0004,0.333333,0.017544,5,1
2026-09-18-6fnk-s0-n100-refligand-seed1-0005,0.0,0.0,66,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0006,0.333333,0.018519,6,1
2026-09-18-6fnk-s0-n100-refligand-seed1-0007,0.333333,0.037037,7,1
2026-09-18-6fnk-s0-n100-refligand-seed1-0008,0.0,0.0,67,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0009,0.0,0.0,68,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0010,0.0,0.0,69,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0011,0.666667,0.021505,1,1
2026-09-18-6fnk-s0-n100-refligand-seed1-0012,0.333333,0.019608,8,1
2026-09-18-6fnk-s0-n100-refligand-seed1-0013,0.333333,0.037037,9,1
2026-09-18-6fnk-s0-n100-refligand-seed1-0014,0.0,0.0,70,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0015,0.0,0.0,71,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0016,0.333333,0.013889,10,1
2026-09-18-6fnk-s0-n100-refligand-seed1-0017,0.333333,0.037037,11,1
2026-09-18-6fnk-s0-n100-refligand-seed1-0018,0.333333,0.016667,12,1
2026-09-18-6fnk-s0-n100-refligand-seed1-0019,0.333333,0.030303,13,1
2026-09-18-6fnk-s0-n100-refligand-seed1-0020,0.333333,0.022222,14,1
2026-09-18-6fnk-s0-n100-refligand-seed1-0021,0.333333,0.018519,15,1
2026-09-18-6fnk-s0-n100-refligand-seed1-0022,0.0,0.0,72,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0023,0.333333,0.033333,16,1
2026-09-18-6fnk-s0-n100-refligand-seed1-0024,0.333333,0.020833,17,1
2026-09-18-6fnk-s0-n100-refligand-seed1-0025,0.0,0.0,73,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0026,0.333333,0.015873,18,1
2026-09-18-6fnk-s0-n100-refligand-seed1-0027,0.0,0.0,74,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0028,0.0,0.0,75,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0029,0.0,0.0,76,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0030,0.333333,0.019608,19,1
2026-09-18-6fnk-s0-n100-refligand-seed1-0031,0.333333,0.030303,20,1
2026-09-18-6fnk-s0-n100-refligand-seed1-0032,0.333333,0.017544,21,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0033,0.333333,0.020833,22,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0034,0.0,0.0,77,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0035,0.0,0.0,78,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0036,0.333333,0.027778,23,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0037,0.333333,0.015152,24,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0038,0.333333,0.017544,25,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0039,0.333333,0.011494,26,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0040,0.0,0.0,79,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0041,0.0,0.0,80,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0042,0.0,0.0,81,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0043,0.333333,0.018519,27,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0044,0.333333,0.027778,28,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0045,0.333333,0.011905,29,0
2026-09-18-6fnk-s0-n100-refligand-seed1-0046,0.0,0.0,82,0
