mol_id,ifp_score,ifp_score_norm,rank,selected
2026-09-18-6fnk-s0-n100-refligand-0001,0.333333,0.041667,2,1
2026-09-18-6fnk-s0-n100-refligand-0002,0.0,0.0,49,0
2026-09-18-6fnk-s0-n100-refligand-0003,0.333333,0.018519,3,1
2026-09-18-6fnk-s0-n100-refligand-0004,0.0,0.0,50,0
2026-09-18-6fnk-s0-n100-refligand-0005,0.333333,0.019608,4,1
2026-09-18-6fnk-s0-n100-refligand-0006,0.333333,0.012346,5,1
2026-09-18-6fnk-s0-n100-refligand-0007,0.0,0.0,51,0
2026-09-18-6fnk-s0-n100-refligand-0008,0.0,0.0,52,0
2026-09-18-6fnk-s0-n100-refligand-0009,0.0,0.0,53,0
2026-09-18-6fnk-s0-n100-refligand-0010,0.333333,0.030303,6,1
2026-09-18-6fnk-s0-n100-refligand-0011,0.333333,0.018519,7,1
2026-09-18-6fnk-s0-n100-refligand-0013,0.0,0.0,54,0
2026-09-18-6fnk-s0-n100-refligand-0014,0.333333,0.019608,8,1
2026-09-18-6fnk-s0-n100-refligand-0015,0.333333,0.013889,9,1
2026-09-18-6fnk-s0-n100-refligand-0016,0.333333,0.012346,10,1
2026-09-18-6fnk-s0-n100-refligand-0017,0.0,0.0,55,0
2026-09-18-6fnk-s0-n100-refligand-0018,0.0,0.0,56,0
2026-09-18-6fnk-s0-n100-refligand-0019,0.0,0.0,57,0
2026-09-18-6fnk-s0-n100-refligand-0020,0.0,0.0,58,0
2026-09-18-6fnk-s0-n100-refligand-0021,0.333333,0.022222,11,1
2026-09-18-6fnk-s0-n100-refligand-0022,0.0,0.0,59,0
2026-09-18-6fnk-s0-n100-refligand-0023,0.333333,0.025641,12,1
2026-09-18-6fnk-s0-n100-refligand-0024,0.0,0.0,60,0
2026-09-18-6fnk-s0-n100-refligand-0025,0.333333,0.019608,13,1
2026-09-18-6fnk-s0-n100-refligand-0026,0.333333,0.019608,14,1
2026-09-18-6fnk-s0-n100-refligand-0027,0.0,0.0,61,0
2026-09-18-6fnk-s0-n100-refligand-0028,0.0,0.0,62,0
2026-09-18-6fnk-s0-n100-refligand-0029,0.333333,0.011905,15,1
2026-09-18-6fnk-s0-n100-refligand-0030,0.0,0.0,63,0
2026-09-18-6fnk-s0-n100-refligand-0031,0.333333,0.025641,16,1
2026-09-18-6fnk-s0-n100-refligand-0032,0.0,0.0,64,0
2026-09-18-6fnk-s0-n100-refligand-0033,0.333333,0.022222,17,1
2026-09-18-6fnk-s0-n100-refligand-0034,0.333333,0.022222,18,1
2026-09-18-6fnk-s0-n100-refligand-0035,0.333333,0.011905,19,1
2026-09-18-6fnk-s0-n100-refligand-0036,0.333333,0.013333,20,1
2026-09-18-6fnk-s0-n100-refligand-0037,0.333333,0.030303,21,0
2026-09-18-6fnk-s0-n100-refligand-0038,0.666667,0.055556,1,1
2026-09-18-6fnk-s0-n100-refligand-0039,0.333333,0.015873,22,0
2026-09-18-6fnk-s0-n100-refligand-0040,0.333333,0.012346,23,0
2026-09-18-6fnk-s0-n100-refligand-0041,0.333333,0.013333,24,0
2026-09-18-6fnk-s0-n100-refligand-0042,0.0,0.0,65,0
2026-09-18-6fnk-s0-n100-refligand-0043,0.0,0.0,66,0
2026-09-18-6fnk-s0-n100-refligand-0044,0.0,0.0,67,0
2026-09-18-6fnk-s0-n100-refligand-0045,0.0,0.0,68,0
2026-09-18-6fnk-s0-n100-refligand-0046,0.333333,0.047619,25,0
2026-09-18-6fnk-s0-n100-refligand-0047,0.0,0.0,69,0
2026-09-18-6fnk-s0-n100-refligand-0048,0.0,0.0,70,0
2026-09-18-6fnk-s0-n100-refligand-0049,0.0,0.0,71,0
2026-09-18-6fnk-s0-n100-refligand-0050,0.333333,0.030303,26,0
2026-09-18-6fnk-s0-n100-refligand-0051,0.0,0.0,72,0
2026-09-18-6fnk-s0-n100-refligand-0052,0.333333,0.041667,27,0
2026-09-18-6fnk-s0-n100-refligand-0053,0.0,0.0,73,0
2026-09-18-6fnk-s0-n100-refligand-0054,0.0,0.0,74,0
2026-09-18-6fnk-s0-n100-refligand-0055,0.0,0.0,75,0
2026-09-18-6fnk-s0-n100-refligand-0056,0.0,0.0,76,0
2026-09-18-6fnk-s0-n100-refligand-0057,0.333333,0.015152,28,0
2026-09-18-6fnk-s0-n100-refligand-0058,0.333333,0.013333,29,0
2026-09-18-6fnk-s0-n100-refligand-0059,0.333333,0.018519,30,0
2026-09-18-6fnk-s0-n100-refligand-0060,0.333333,0.012346,31,0
2026-09-18-6fnk-s0-n100-refligand-0061,0.0,0.0,77,0
2026-09-18-6fnk-s0-n100-refligand-0062,0.0,0.0,78,0
2026-09-18-6fnk-s0-n100-refligand-0063,0.333333,0.012346,32,0
2026-09-18-6fnk-s0-n100-refligand-0064,0.0,0.0,79,0
2026-09-18-6fnk-s0-n100-refligand-0065,0.333333,0.017544,33,0
2026-09-18-6fnk-s0-n100-refligand-0066,0.333333,0.025641,34,0
2026-09-18-6fnk-s0-n100-refligand-0067,0.0,0.0,80,0
2026-09-18-6fnk-s0-n100-refligand-0068,0.0,0.0,81,0
2026-09-18-6fnk-s0-n100-refligand-0070,0.333333,0.011494,35,0
2026-09-18-6fnk-s0-n100-refligand-0071,0.333333,0.02381,36,0
2026-09-18-6fnk-s0-n100-refligand-0072,0.333333,0.015152,37,0
