mol_id,ifp_score,ifp_score_norm,rank,selected
2026-09-18-6fnk-s0-n100-0001,0.333333,0.012346,1,1
2026-09-18-6fnk-s0-n100-0002,0.0,0.0,7,1
2026-09-18-6fnk-s0-n100-0003,0.0,0.0,8,1
2026-09-18-6fnk-s0-n100-0004,0.0,0.0,9,1
2026-09-18-6fnk-s0-n100-0005,0.0,0.0,10,1
2026-09-18-6fnk-s0-n100-0006,0.0,0.0,11,1
2026-09-18-6fnk-s0-n100-0007,0.0,0.0,12,1
2026-09-18-6fnk-s0-n100-0008,0.333333,0.012346,2,1
2026-09-18-6fnk-s0-n100-0009,0.0,0.0,13,1
2026-09-18-6fnk-s0-n100-0010,0.0,0.0,14,1
2026-09-18-6fnk-s0-n100-0011,0.0,0.0,15,1
2026-09-18-6fnk-s0-n100-0012,0.0,0.0,16,1
2026-09-18-6fnk-s0-n100-0013,0.0,0.0,17,1
2026-09-18-6fnk-s0-n100-0014,0.0,0.0,18,1
2026-09-18-6fnk-s0-n100-0015,0.0,0.0,19,1
2026-09-18-6fnk-s0-n100-0016,0.0,0.0,20,1
2026-09-18-6fnk-s0-n100-0017,0.0,0.0,21,0
2026-09-18-6fnk-s0-n100-0018,0.0,0.0,22,0
2026-09-18-6fnk-s0-n100-0019,0.0,0.0,23,0
2026-09-18-6fnk-s0-n100-0020,0.0,0.0,24,0
2026-09-18-6fnk-s0-n100-0021,0.0,0.0,25,0
2026-09-18-6fnk-s0-n100-0022,0.0,0.0,26,0
2026-09-18-6fnk-s0-n100-0023,0.0,0.0,27,0
2026-09-18-6fnk-s0-n100-0024,0.0,0.0,28,0
2026-09-18-6fnk-s0-n100-0025,0.0,0.0,29,0
2026-09-18-6fnk-s0-n100-0026,0.0,0.0,30,0
2026-09-18-6fnk-s0-n100-0027,0.0,0.0,31,0
2026-09-18-6fnk-s0-n100-0028,0.0,0.0,32,0
2026-09-18-6fnk-s0-n100-0029,0.333333,0.011905,3,1
2026-09-18-6fnk-s0-n100-0030,0.0,0.0,33,0
2026-09-18-6fnk-s0-n100-0031,0.0,0.0,34,0
2026-09-18-6fnk-s0-n100-0032,0.0,0.0,35,0
2026-09-18-6fnk-s0-n100-0033,0.0,0.0,36,0
2026-09-18-6fnk-s0-n100-0034,0.0,0.0,37,0
2026-09-18-6fnk-s0-n100-0035,0.0,0.0,38,0
2026-09-18-6fnk-s0-n100-0036,0.0,0.0,39,0
2026-09-18-6fnk-s0-n100-0037,0.0,0.0,40,0
2026-09-18-6fnk-s0-n100-0038,0.0,0.0,41,0
2026-09-18-6fnk-s0-n100-0039,0.0,0.0,42,0
2026-09-18-6fnk-s0-n100-0040,0.0,0.0,43,0
2026-09-18-6fnk-s0-n100-0041,0.0,0.0,44,0
2026-09-18-6fnk-s0-n100-0042,0.0,0.0,45,0
2026-09-18-6fnk-s0-n100-0043,0.0,0.0,46,0
2026-09-18-6fnk-s0-n100-0044,0.0,0.0,47,0
2026-09-18-6fnk-s0-n100-0045,0.0,0.0,48,0
2026-09-18-6fnk-s0-n100-0046,0.0,0.0,49,0
2026-09-18-6fnk-s0-n100-0047,0.0,0.0,50,0
2026-09-18-6fnk-s0-n100-0048,0.0,0.0,51,0
2026-09-18-6fnk-s0-n100-0049,0.0,0.0,52,0
2026-09-18-6fnk-s0-n100-0050,0.0,0.0,53,0
2026-09-18-6fnk-s0-n100-0051,0.0,0.0,54,0
2026-09-18-6fnk-s0-n100-0052,0.0,0.0,55,0
2026-09-18-6fnk-s0-n100-0053,0.0,0.0,56,0
2026-09-18-6fnk-s0-n100-0054,0.0,0.0,57,0
2026-09-18-6fnk-s0-n100-0055,0.0,0.0,58,0
2026-09-18-6fnk-s0-n100-0056,0.0,0.0,59,0
2026-09-18-6fnk-s0-n100-0057,0.0,0.0,60,0
2026-09-18-6fnk-s0-n100-0058,0.0,0.0,61,0
2026-09-18-6fnk-s0-n100-0059,0.0,0.0,62,0
2026-09-18-6fnk-s0-n100-0060,0.0,0.0,63,0
2026-09-18-6fnk-s0-n100-0061,0.0,0.0,64,0
2026-09-18-6fnk-s0-n100-0062,0.0,0.0,65,0
2026-09-18-6fnk-s0-n100-0063,0.0,0.0,66,0
2026-09-18-6fnk-s0-n100-0064,0.0,0.0,67,0
2026-09-18-6fnk-s0-n100-0065,0.0,0.0,68,0
2026-09-18-6fnk-s0-n100-0066,0.0,0.0,69,0
2026-09-18-6fnk-s0-n100-0067,0.0,0.0,70,0
2026-09-18-6fnk-s0-n100-0068,0.0,0.0,71,0
2026-09-18-6fnk-s0-n100-0069,0.0,0.0,72,0
2026-09-18-6fnk-s0-n100-0070,0.0,0.0,73,0
2026-09-18-6fnk-s0-n100-0071,0.333333,0.012821,4,1
2026-09-18-6fnk-s0-n100-0072,0.0,0.0,74,0
2026-09-18-6fnk-s0-n100-0073,0.0,0.0,75,0
2026-09-18-6fnk-s0-n100-0074,0.0,0.0,76,0
2026-09-18-6fnk-s0-n100-0075,0.0,0.0,77,0
2026-09-18-6fnk-s0-n100-0076,0.0,0.0,78,0
2026-09-18-6fnk-s0-n100-0077,0.0,0.0,79,0
2026-09-18-6fnk-s0-n100-0079,0.0,0.0,80,0
2026-09-18-6fnk-s0-n100-0080,0.0,0.0,81,0
2026-09-18-6fnk-s0-n100-0081,0.0,0.0,82,0
2026-09-18-6fnk-s0-n100-0082,0.0,0.0,83,0
2026-09-18-6fnk-s0-n100-0083,0.0,0.0,84,0
2026-09-18-6fnk-s0-n100-0084,0.0,0.0,85,0
2026-09-18-6fnk-s0-n100-0085,0.333333,0.012346,5,1
2026-09-18-6fnk-s0-n100-0086,0.0,0.0,86,0
2026-09-18-6fnk-s0-n100-0087,0.0,0.0,87,0
2026-09-18-6fnk-s0-n100-0088,0.0,0.0,88,0
2026-09-18-6fnk-s0-n100-0089,0.0,0.0,89,0
2026-09-18-6fnk-s0-n100-0090,0.0,0.0,90,0
2026-09-18-6fnk-s0-n100-0091,0.0,0.0,91,0
2026-09-18-6fnk-s0-n100-0092,0.0,0.0,92,0
2026-09-18-6fnk-s0-n100-0093,0.0,0.0,93,0
2026-09-18-6fnk-s0-n100-0094,0.333333,0.012346,6,1
2026-09-18-6fnk-s0-n100-0095,0.0,0.0,94,0
2026-09-18-6fnk-s0-n100-0096,0.0,0.0,95,0
2026-09-18-6fnk-s0-n100-0097,0.0,0.0,96,0
2026-09-18-6fnk-s0-n100-0098,0.0,0.0,97,0
2026-09-18-6fnk-s0-n100-0099,0.0,0.0,98,0
2026-09-18-6fnk-s0-n100-0100,0.0,0.0,99,0
