run_id,date,pdb_id,source,condition,guidance_scale,seed,n_returned,platform,status,path,molecules
2026-08-23-6tgu-s0-n100,2026-08-23,6tgu,local-poses,local-poses,0.0,0,100,local-cpu,scored,2026-08-23-6tgu-s0-n100,in-git
2026-08-23-6tgu-s0-n100-prep,2026-08-23,6tgu,diffsbdd,diffsbdd,0.0,0,98,modal-gpu,scored,2026-08-23-6tgu-s0-n100-prep,in-git
2026-08-23-6tgu-s0-n100-r1,2026-08-23,6tgu,local-poses,local-poses,0.0,1,100,local-cpu,scored,2026-08-23-6tgu-s0-n100-r1,in-git
2026-08-23-6tgu-s0-n100-r2,2026-08-23,6tgu,local-poses,local-poses,0.0,2,100,local-cpu,scored,2026-08-23-6tgu-s0-n100-r2,in-git
2026-08-23-6tgu-s0-n100-r3,2026-08-23,6tgu,local-poses,local-poses,0.0,3,100,local-cpu,scored,2026-08-23-6tgu-s0-n100-r3,in-git
2026-08-23-6tgu-s0-n100-r4,2026-08-23,6tgu,local-poses,local-poses,0.0,4,100,local-cpu,scored,2026-08-23-6tgu-s0-n100-r4,in-git
2026-08-23-6tgu-s0-n100-r5,2026-08-23,6tgu,local-poses,local-poses,0.0,5,100,local-cpu,scored,2026-08-23-6tgu-s0-n100-r5,in-git
2026-08-23-6tgu-s0-n100-r6,2026-08-23,6tgu,local-poses,local-poses,0.0,6,100,local-cpu,scored,2026-08-23-6tgu-s0-n100-r6,in-git
2026-08-23-6tgu-s0-n100-r7,2026-08-23,6tgu,local-poses,local-poses,0.0,7,100,local-cpu,scored,2026-08-23-6tgu-s0-n100-r7,in-git
2026-08-23-6tgu-s0-n100-r8,2026-08-23,6tgu,local-poses,local-poses,0.0,8,100,local-cpu,scored,2026-08-23-6tgu-s0-n100-r8,in-git
2026-08-23-6tgu-s0-n100-r9,2026-08-23,6tgu,local-poses,local-poses,0.0,9,100,local-cpu,scored,2026-08-23-6tgu-s0-n100-r9,in-git
2026-08-24-6tgu-s0-n100,2026-08-24,6tgu,local-poses,local-poses,0.0,0,100,local-cpu,scored,2026-08-24-6tgu-s0-n100,in-git
2026-08-24-6tgu-s0-n100-seed1,2026-08-24,6tgu,diffsbdd,diffsbdd,0.0,1,95,modal-gpu,scored,2026-08-24-6tgu-s0-n100-seed1,in-git
2026-08-24-6tgu-s0-n20-pocketids2,2026-08-24,6tgu,diffsbdd,pocket-ids,0.0,0,20,modal-gpu,scored,2026-08-24-6tgu-s0-n20-pocketids2,in-git
2026-08-24-6tgu-s0-n20-r7,2026-08-24,6tgu,local-poses,local-poses,0.0,7,20,local-cpu,scored,2026-08-24-6tgu-s0-n20-r7,in-git
2026-08-24-6tgu-s0-n20-refligand,2026-08-24,6tgu,diffsbdd,pocket-ref-ligand,0.0,0,20,modal-gpu,scored,2026-08-24-6tgu-s0-n20-refligand,in-git
2026-09-16-3war-s0-n100,2026-09-16,3war,local-poses,,0.0,0,95,local-cpu,scored,2026-09-16-3war-s0-n100,in-git
2026-09-16-6tgu-s0-n100,2026-09-16,6tgu,diffsbdd,pocket-ids,0.0,1,99,modal-gpu,scored,2026-09-16-6tgu-s0-n100,in-git
2026-09-17-6fnk-s0-n100,2026-09-17,6fnk,local-poses,,0.0,0,100,local-cpu,scored,2026-09-17-6fnk-s0-n100,in-git
2026-09-18-3war-s0-n100,2026-09-18,3war,diffsbdd,,0.0,0,98,modal-gpu,scored,2026-09-18-3war-s0-n100,in-git
2026-09-18-3war-s0-n100-r1,2026-09-18,3war,local-poses,,0.0,1,96,local-cpu,scored,2026-09-18-3war-s0-n100-r1,in-git
2026-09-18-3war-s0-n100-r2,2026-09-18,3war,local-poses,,0.0,2,97,local-cpu,scored,2026-09-18-3war-s0-n100-r2,in-git
2026-09-18-3war-s0-n100-r3,2026-09-18,3war,local-poses,,0.0,3,96,local-cpu,scored,2026-09-18-3war-s0-n100-r3,in-git
2026-09-18-3war-s0-n100-r4,2026-09-18,3war,local-poses,,0.0,4,97,local-cpu,scored,2026-09-18-3war-s0-n100-r4,in-git
2026-09-18-3war-s0-n100-r5,2026-09-18,3war,local-poses,,0.0,5,96,local-cpu,scored,2026-09-18-3war-s0-n100-r5,in-git
2026-09-18-3war-s0-n100-r6,2026-09-18,3war,local-poses,,0.0,6,96,local-cpu,scored,2026-09-18-3war-s0-n100-r6,in-git
2026-09-18-3war-s0-n100-r7,2026-09-18,3war,local-poses,,0.0,7,96,local-cpu,scored,2026-09-18-3war-s0-n100-r7,in-git
2026-09-18-3war-s0-n100-r8,2026-09-18,3war,local-poses,,0.0,8,97,local-cpu,scored,2026-09-18-3war-s0-n100-r8,in-git
2026-09-18-3war-s0-n100-r9,2026-09-18,3war,local-poses,,0.0,9,96,local-cpu,scored,2026-09-18-3war-s0-n100-r9,in-git
2026-09-18-3war-s0-n100-refligand,2026-09-18,3war,diffsbdd,pocket-ref-ligand,0.0,0,97,modal-gpu,scored,2026-09-18-3war-s0-n100-refligand,in-git
2026-09-18-3war-s0-n100-refligand-seed1,2026-09-18,3war,diffsbdd,pocket-ref-ligand,0.0,1,100,modal-gpu,scored,2026-09-18-3war-s0-n100-refligand-seed1,in-git
2026-09-18-5lvo-s0-n100,2026-09-18,5lvo,diffsbdd,pocket-ref-ligand,0.0,0,95,modal-gpu,scored,2026-09-18-5lvo-s0-n100,in-git
2026-09-18-6fnk-s0-n100,2026-09-18,6fnk,diffsbdd,,0.0,0,99,modal-gpu,scored,2026-09-18-6fnk-s0-n100,in-git
2026-09-18-6fnk-s0-n100-r1,2026-09-18,6fnk,local-poses,,0.0,1,100,local-cpu,scored,2026-09-18-6fnk-s0-n100-r1,in-git
2026-09-18-6fnk-s0-n100-r2,2026-09-18,6fnk,local-poses,,0.0,2,100,local-cpu,scored,2026-09-18-6fnk-s0-n100-r2,in-git
2026-09-18-6fnk-s0-n100-r3,2026-09-18,6fnk,local-poses,,0.0,3,100,local-cpu,scored,2026-09-18-6fnk-s0-n100-r3,in-git
2026-09-18-6fnk-s0-n100-r4,2026-09-18,6fnk,local-poses,,0.0,4,100,local-cpu,scored,2026-09-18-6fnk-s0-n100-r4,in-git
2026-09-18-6fnk-s0-n100-r5,2026-09-18,6fnk,local-poses,,0.0,5,100,local-cpu,scored,2026-09-18-6fnk-s0-n100-r5,in-git
2026-09-18-6fnk-s0-n100-r6,2026-09-18,6fnk,local-poses,,0.0,6,100,local-cpu,scored,2026-09-18-6fnk-s0-n100-r6,in-git
2026-09-18-6fnk-s0-n100-r7,2026-09-18,6fnk,local-poses,,0.0,7,100,local-cpu,scored,2026-09-18-6fnk-s0-n100-r7,in-git
2026-09-18-6fnk-s0-n100-r8,2026-09-18,6fnk,local-poses,,0.0,8,100,local-cpu,scored,2026-09-18-6fnk-s0-n100-r8,in-git
2026-09-18-6fnk-s0-n100-r9,2026-09-18,6fnk,local-poses,,0.0,9,100,local-cpu,scored,2026-09-18-6fnk-s0-n100-r9,in-git
2026-09-18-6fnk-s0-n100-refligand,2026-09-18,6fnk,diffsbdd,pocket-ref-ligand,0.0,0,96,modal-gpu,scored,2026-09-18-6fnk-s0-n100-refligand,in-git
2026-09-18-6fnk-s0-n100-refligand-seed1,2026-09-18,6fnk,diffsbdd,pocket-ref-ligand,0.0,1,97,modal-gpu,scored,2026-09-18-6fnk-s0-n100-refligand-seed1,in-git
