pdb_id,kinase,group,klifs_structure_id,protonation,tanimoto_all,tanimoto_scoring,scoring_defined,HYD_ours,HYD_reference,HYD_shared,F-F_ours,F-F_reference,F-F_shared,F-E_ours,F-E_reference,F-E_shared,DON_ours,DON_reference,DON_shared,ACC_ours,ACC_reference,ACC_shared,ION+_ours,ION+_reference,ION+_shared,ION-_ours,ION-_reference,ION-_shared
5lvo,PDK1,AGC,7104,explicit,0.428571,0.857143,1,0,7,0,0,1,0,0,0,0,4,4,4,1,1,1,1,1,1,0,0,0
5lvo,PDK1,AGC,7104,implicit-prolif,0.312500,0.555556,1,0,7,0,0,1,0,0,0,0,5,4,4,2,1,1,0,1,0,0,0,0
2yex,CHK1,CAMK,1651,explicit,0.352941,0.750000,1,3,13,3,0,1,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0
2yex,CHK1,CAMK,1651,implicit-prolif,0.333333,0.600000,1,3,13,3,0,1,0,0,0,0,2,1,1,2,2,2,0,0,0,0,0,0
3bhy,DAPK3,CAMK,385,explicit,0.066667,,0,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3bhy,DAPK3,CAMK,385,implicit-prolif,0.071429,,0,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3war,CK2a1,CMGC,5429,explicit,0.727273,1.000000,1,4,7,4,1,1,1,0,0,0,2,2,2,0,0,0,1,1,1,0,0,0
3war,CK2a1,CMGC,5429,implicit-prolif,0.545455,0.500000,1,4,7,4,0,1,0,0,0,0,2,2,2,0,0,0,0,1,0,0,0,0
6tgu,CK2a2,CMGC,12448,explicit,0.588235,1.000000,1,5,12,5,1,1,1,1,1,1,2,2,2,0,0,0,1,1,1,0,0,0
6tgu,CK2a2,CMGC,12448,implicit-prolif,0.411765,0.400000,1,5,12,5,0,1,0,0,1,0,2,2,2,0,0,0,0,1,0,0,0,0
8aoj,Erk2,CMGC,14412,explicit,0.411765,0.750000,1,4,13,4,0,0,0,0,0,0,2,3,2,1,1,1,0,0,0,0,0,0
8aoj,Erk2,CMGC,14412,implicit-prolif,0.411765,0.750000,1,4,13,4,0,0,0,0,0,0,2,3,2,1,1,1,0,0,0,0,0,0
6s14,DYRK1A,CMGC,11418,explicit,0.333333,0.500000,1,4,14,4,0,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0
6s14,DYRK1A,CMGC,11418,implicit-prolif,0.277778,0.500000,1,3,14,3,0,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0
6ra7,TNIK,STE,11801,explicit,0.529412,0.800000,1,5,12,5,0,1,0,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0
6ra7,TNIK,STE,11801,implicit-prolif,0.411765,0.600000,1,4,12,4,0,1,0,0,1,0,2,2,2,1,1,1,0,0,0,0,0,0
5nkg,EphA2,TK,8079,explicit,0.363636,0.750000,1,5,18,5,0,0,0,0,1,0,1,1,1,2,2,2,0,0,0,0,0,0
5nkg,EphA2,TK,8079,implicit-prolif,0.318182,0.750000,1,4,18,4,0,0,0,0,1,0,1,1,1,2,2,2,0,0,0,0,0,0
2qoc,EphA3,TK,2882,explicit,0.230769,0.500000,1,0,7,0,0,1,0,0,0,0,2,2,2,2,2,1,0,0,0,0,0,0
2qoc,EphA3,TK,2882,implicit-prolif,0.307692,0.666667,1,0,7,0,0,1,0,0,0,0,2,2,2,3,2,2,0,0,0,0,0,0
6fnk,EphB4,TK,10344,explicit,0.214286,0.666667,1,1,11,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
6fnk,EphB4,TK,10344,implicit-prolif,0.214286,0.666667,1,1,11,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
6srh,ALK2,TKL,11632,explicit,0.222222,0.333333,1,3,15,3,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
6srh,ALK2,TKL,11632,implicit-prolif,0.166667,0.333333,1,2,15,2,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
