pdb_id,expo_id,pocket_class,matches_diffsbdd,radius,qed,ligand_atoms,ligand_copies,water_atoms,neighbours,reasons
4tpt,35H,diffsbdd-ready,1,8.0,0.4994,31,2,0,,
5ywm,NIO,diffsbdd-ready,1,8.0,0.5999,9,1,4,,
6y6h,OBW,additive,0,8.0,0.4212,23,1,16,EDO:4,добавка кристаллизации в кармане: EDO
8izc,S93,diffsbdd-ready,1,8.0,0.8210,48,2,25,,
4jia,1K3,additive,0,8.0,0.5346,31,1,16,GOL:6,добавка кристаллизации в кармане: GOL
2qhm,7CS,diffsbdd-ready,1,8.0,0.8605,21,1,18,,
5wal,9ZS,diffsbdd-ready,1,8.0,0.7429,23,1,13,,
6in0,O4B,diffsbdd-ready,1,8.0,0.6183,18,2,14,,
2xrw,ANP,low-qed,0,8.0,0.1786,27,1,32,,QED 0.179 ниже порога обучающей выборки 0.3
3tiy,TIY,additive,0,8.0,0.4968,16,1,8,EDO:1;EDO:4,добавка кристаллизации в кармане: EDO
6pmc,OQJ,diffsbdd-ready,1,8.0,0.3536,31,1,3,,
1v1k,3FP,diffsbdd-ready,1,8.0,0.4037,33,1,12,,
8s99,ZS3,additive,0,8.0,0.4098,40,3,34,EDO:1,добавка кристаллизации в кармане: EDO
4jq7,KJQ,diffsbdd-ready,1,8.0,0.3776,31,1,1,,
3wf5,FZ8,diffsbdd-ready,1,8.0,0.5929,24,1,15,,
8bjt,8X7,diffsbdd-ready,1,8.0,0.3735,37,1,2,,
7jwe,VL1,diffsbdd-ready,1,8.0,0.4095,86,1,0,,
5w5o,9XA,diffsbdd-ready,1,8.0,0.5086,34,16,2,,
6q4d,HHT,diffsbdd-ready,1,8.0,0.8862,13,6,17,,
8siw,ZXL,diffsbdd-ready,1,8.0,0.5447,36,2,15,,
4b99,R4L,diffsbdd-ready,1,8.0,0.4168,46,1,1,,
3q9w,EMO,diffsbdd-ready,1,8.0,0.5795,20,1,14,,
5uu1,7DZ,diffsbdd-ready,1,8.0,0.7604,28,1,9,,
5ho7,63L,diffsbdd-ready,1,8.0,0.5565,14,1,2,,
5wr7,RCH,diffsbdd-ready,1,8.0,0.3232,41,1,7,,
3uzp,0CK,diffsbdd-ready,1,8.0,0.7761,25,2,8,,
6acr,9TO,additive,0,8.0,0.5740,26,2,12,SO4:1;SO4:1,добавка кристаллизации в кармане: SO4
4w4v,3H8,diffsbdd-ready,1,8.0,0.3954,32,1,19,,
3r83,Z14,diffsbdd-ready,1,8.0,0.4083,28,1,26,,
3uok,0C6,diffsbdd-ready,1,8.0,0.6241,25,2,2,,
6b1u,STU,diffsbdd-ready,1,8.0,0.4058,35,2,7,,
6c9g,STU,diffsbdd-ready,1,8.0,0.4058,35,1,5,,
4r6v,FI3,covalent,0,8.0,0.1542,48,1,7,,лиганд связан с белком ковалентно (ближайший контакт 1.70 Å) | QED 0.154 ниже порога обучающей выборки 0.3
7yc1,IIQ,covalent,0,8.0,0.4138,30,1,7,SO4:1,добавка кристаллизации в кармане: SO4 | лиганд связан с белком ковалентно (ближайший контакт 1.64 Å)
4fk6,0UJ,diffsbdd-ready,1,8.0,0.7476,25,2,11,,
3vbq,0F5,diffsbdd-ready,1,8.0,0.6822,28,1,16,,
6ges,6H3,covalent,0,8.0,0.4652,33,2,7,,лиганд связан с белком ковалентно (ближайший контакт 1.74 Å)
3ezv,EZV,diffsbdd-ready,1,8.0,0.3802,32,1,11,,
6gmd,ATP,multi-ligand,0,8.0,0.1974,19,2,10,A8Q:1,в карман попала посторонняя молекула: A8Q | QED 0.197 ниже порога обучающей выборки 0.3
3zxt,ACP,metal,0,8.0,0.2007,31,4,4,MG:1;MG:1,ион металла в кармане: MG (модель его не видит) | QED 0.201 ниже порога обучающей выборки 0.3
5s7k,LU8,additive,0,8.0,0.5103,64,4,30,EDO:1;SO4:1,"добавка кристаллизации в кармане: EDO, SO4"
7aja,RJ2,diffsbdd-ready,1,8.0,,21,1,22,,QED не измерен: условие отбора обучающей выборки не проверено
6egf,ANP,metal,0,8.0,0.1786,31,1,3,MG:1,ион металла в кармане: MG (модель его не видит) | QED 0.179 ниже порога обучающей выборки 0.3
3tn8,F18,diffsbdd-ready,1,8.0,0.5719,16,1,2,,
6qty,V25,diffsbdd-ready,1,8.0,0.6861,22,1,23,,
1jst,ATP,metal,0,8.0,0.1974,31,2,3,MN:1,ион металла в кармане: MN (модель его не видит) | QED 0.197 ниже порога обучающей выборки 0.3
4bzo,676,diffsbdd-ready,1,8.0,0.5452,30,1,25,,
7ybp,IH7,covalent,0,8.0,0.2349,42,1,18,SO4:4;SO4:5,добавка кристаллизации в кармане: SO4 | лиганд связан с белком ковалентно (ближайший контакт 1.73 Å) | QED 0.235 ниже порога обучающей выборки 0.3
8wm0,ADN,diffsbdd-ready,1,8.0,0.4905,19,1,0,,
2vwv,7X3,diffsbdd-ready,1,8.0,0.5617,29,1,23,,
1gz8,MBP,diffsbdd-ready,1,8.0,0.8004,17,1,29,,
2of2,547,diffsbdd-ready,1,8.0,0.5016,30,1,10,,
4wb8,ATP,metal,0,8.0,0.1974,31,1,31,MG:1;MG:1,ион металла в кармане: MG (модель его не видит) | QED 0.197 ниже порога обучающей выборки 0.3
2itw,ITQ,diffsbdd-ready,1,8.0,0.4732,35,1,7,,
6tlo,NKB,diffsbdd-ready,1,8.0,0.7370,24,2,25,,
4ivb,1J5,diffsbdd-ready,1,8.0,0.7601,23,2,15,,
2c4g,514,diffsbdd-ready,1,8.0,0.7245,20,2,1,,
5kae,6RF,diffsbdd-ready,1,8.0,0.3824,37,1,6,,
7oaj,V6E,additive,0,8.0,0.4118,34,4,20,EDO:2,добавка кристаллизации в кармане: EDO
