label,rule,reproduced,extra,reference_total,positions
1uu8,любой углерод,14,0,14,85
1uu8,углерод и сера,14,0,14,85
1uu8,углерод и галогены,14,0,14,85
1uu8,"углерод, сера, фтор",14,0,14,85
1uu8,"углерод, сера, хлор",14,0,14,85
1uu8,"углерод, сера, галогены",14,0,14,85
1uu8,любой тяжёлый атом,14,3,14,85
3qcx,любой углерод,13,0,13,85
3qcx,углерод и сера,13,0,13,85
3qcx,углерод и галогены,13,0,13,85
3qcx,"углерод, сера, фтор",13,0,13,85
3qcx,"углерод, сера, хлор",13,0,13,85
3qcx,"углерод, сера, галогены",13,0,13,85
3qcx,любой тяжёлый атом,13,5,13,85
1uu3,любой углерод,17,0,17,85
1uu3,углерод и сера,17,0,17,85
1uu3,углерод и галогены,17,0,17,85
1uu3,"углерод, сера, фтор",17,0,17,85
1uu3,"углерод, сера, хлор",17,0,17,85
1uu3,"углерод, сера, галогены",17,0,17,85
1uu3,любой тяжёлый атом,17,3,17,85
3hrf,любой углерод,10,0,10,85
3hrf,углерод и сера,10,0,10,85
3hrf,углерод и галогены,10,0,10,85
3hrf,"углерод, сера, фтор",10,0,10,85
3hrf,"углерод, сера, хлор",10,0,10,85
3hrf,"углерод, сера, галогены",10,0,10,85
3hrf,любой тяжёлый атом,10,8,10,85
4rrv,любой углерод,8,0,8,85
4rrv,углерод и сера,8,0,8,85
4rrv,углерод и галогены,8,0,8,85
4rrv,"углерод, сера, фтор",8,0,8,85
4rrv,"углерод, сера, хлор",8,0,8,85
4rrv,"углерод, сера, галогены",8,0,8,85
4rrv,любой тяжёлый атом,8,10,8,85
3orz,любой углерод,15,0,15,85
3orz,углерод и сера,15,0,15,85
3orz,углерод и галогены,15,0,15,85
3orz,"углерод, сера, фтор",15,0,15,85
3orz,"углерод, сера, хлор",15,0,15,85
3orz,"углерод, сера, галогены",15,0,15,85
3orz,любой тяжёлый атом,15,5,15,85
3nuy,любой углерод,7,0,7,85
3nuy,углерод и сера,7,0,7,85
3nuy,углерод и галогены,7,0,7,85
3nuy,"углерод, сера, фтор",7,0,7,85
3nuy,"углерод, сера, хлор",7,0,7,85
3nuy,"углерод, сера, галогены",7,0,7,85
3nuy,любой тяжёлый атом,7,3,7,85
4aw0,любой углерод,9,0,9,85
4aw0,углерод и сера,9,0,9,85
4aw0,углерод и галогены,9,0,9,85
4aw0,"углерод, сера, фтор",9,0,9,85
4aw0,"углерод, сера, хлор",9,0,9,85
4aw0,"углерод, сера, галогены",9,0,9,85
4aw0,любой тяжёлый атом,9,8,9,85
4a07,любой углерод,9,0,9,85
4a07,углерод и сера,9,0,9,85
4a07,углерод и галогены,9,0,9,85
4a07,"углерод, сера, фтор",9,0,9,85
4a07,"углерод, сера, хлор",9,0,9,85
4a07,"углерод, сера, галогены",9,0,9,85
4a07,любой тяжёлый атом,9,10,9,85
1uu8,любой углерод,14,0,14,85
1uu8,углерод и сера,14,0,14,85
1uu8,углерод и галогены,14,0,14,85
1uu8,"углерод, сера, фтор",14,0,14,85
1uu8,"углерод, сера, хлор",14,0,14,85
1uu8,"углерод, сера, галогены",14,0,14,85
1uu8,любой тяжёлый атом,14,3,14,85
3nuy,любой углерод,7,0,7,85
3nuy,углерод и сера,7,0,7,85
3nuy,углерод и галогены,7,0,7,85
